opt,target,at,count safe avg,count safe sig,count safe median,count prec avg,count prec sig,count prec median,count* avg,count* sig,count* median,type safe avg,type safe sig,type safe median,type prec avg,type prec sig,type prec median,type* avg,type* sig,type* median
O1,proftpd,1171,1107.32,31.15,1081.0,923.58,263.87,964.0,926.04,221.56,948.0,1055.98,143.19,1138.0,885.92,272.94,964.0,883.8,240.2,948.0
O1,vsftpd,391,379.0,4.0,379.0,313.0,62.0,313.0,302.0,72.0,302.0,266.0,109.0,266.0,203.5,47.5,203.0,161.0,69.0,161.0
O1,lighttpd,352,330.59,10.28,325.0,229.63,109.36,352.0,221.73,80.81,155.0,308.11,55.24,352.0,211.53,106.58,352.0,205.63,73.47,155.0
O1,nginx,1097,960.72,241.52,1083.0,654.71,315.87,591.0,624.31,294.24,638.0,881.37,285.65,913.0,583.75,283.35,743.0,624.31,294.24,638.0
O1,mysqld,12682,11276.47,1292.4,11091.0,9194.31,2685.58,9299.0,7951.85,2601.33,5583.0,10727.18,1638.6,12682.0,8730.94,2517.67,2924.0,7436.54,2305.66,5583.0
O1,postgres,9265,8140.28,708.58,8047.0,6699.76,2007.44,7026.0,6546.99,1688.43,6902.0,7508.15,1642.85,8047.0,6112.75,2158.75,7026.0,5896.25,2003.95,6902.0
O1,memcached,232,224.56,6.27,228.0,219.38,15.4,228.0,213.15,22.24,228.0,179.11,22.83,168.0,175.04,19.75,168.0,154.84,17.5,143.0
O1,node,20638,18233.35,2447.49,14996.0,15325.62,4407.39,14996.0,12841.45,4441.18,14062.0,16578.76,3544.12,17944.0,13928.35,4307.4,14996.0,10977.88,4143.54,14062.0
